Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Chromatin Remodeling (GO:0006338),103/228,4.654033724626065e-12,2.2576717598161042e-08,0,0,2.58939367274251,67.56579175314681,FOXA1;SMARCB1;KDM1A;PWWP2B;YEATS4;RUVBL2;CHEK1;RUVBL1;DPF2;PWWP2A;SOX9;ARID2;NFRKB;DAXX;SMARCC1;KDM2B;CHD1L;HCFC1;DEPDC1B;CFDP1;PADI2;INO80B;ZNF274;INO80E;PAXIP1;INO80D;BAZ2A;ZNF827;UBR5;SUDS3;ZBTB7A;MORC2;BPTF;SRPK2;CHTOP;TFAP2C;PHC1;BRPF1;SETDB1;CBX3;MTHFR;ESR1;SMARCA4;CDK9;YEATS2;C6ORF89;HNRNPC;SETD4;KDM5A;KDM5B;CHD8;CHD7;HP1BP3;CHD6;RSF1;CHD4;CTCF;CHD3;CHD2;CHD1;MYSM1;SART3;JARID2;KDM6B;PBRM1;DTX3L;ACTR5;ACTL6A;BAZ1A;SIRT7;ARID1A;SIRT2;TTI1;KAT2A;SFPQ;MTF2;TOP1;SMARCD2;HDAC1;DDX23;RNF8;DDX21;TFPT;PAK1;MTA1;RBBP4;TDG;MTA3;SMARCE1;KDM4A;NPM1;KDM4B;KDM4C;PCGF2;NPM3;GATAD2A;MCM3AP;RYBP;MYBBP1A;HDGF;BCOR;ERCC6;ZNF335
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),122/288,1.1585262556428834e-11,2.707394953107285e-08,0,0,2.312416683984571,58.22962886475023,SMARCB1;DCLRE1C;TRRAP;ENDOV;HELB;TRIM28;RUVBL2;CHEK1;RUVBL1;LONP1;KPNA2;NFRKB;MEN1;GEN1;WDHD1;LIG1;LIG3;CHD1L;MSH6;GRWD1;PSME4;TIMELESS;DNA2;INO80B;BLM;INO80E;VCP;SET;INO80D;RNASEH2A;PRKDC;PDS5B;ORC5;RAD51AP1;ORC6;ZNF827;NTHL1;RAD21;ORC2;EP400;ZNF668;ATRIP;BARD1;UBE2B;XRCC5;FANCL;INTS3;XRCC2;FANCA;FANCG;FAM111B;ISG20;FAM111A;POLA2;TDP1;UBE2T;CDK2;CDK1;RAD18;ATR;RAD9A;TOP2A;MUS81;FEN1;MCM7;OGG1;MCM9;HMGB2;HMGB3;MCM10;POLB;TOP1MT;POLE;POLH;TOP3B;RFC5;DFFB;UPF1;RMI2;RFC3;RFC4;PARP1;RMI1;ACTR5;ACTL6A;TOP3A;TERF1;SMC1A;REXO4;DDB2;MCM3;MCM4;MCM5;DNASE1;MCM6;TOP1;DNASE1L2;DCTPP1;MCM2;PRIM2;SP100;PNKP;DOT1L;TYMS;UNG;RECQL4;TBRG1;TFPT;CBS;POLD1;TDG;MBD4;POLQ;NPM1;DONSON;LRWD1;GTF2H3;GTF2H4;RAD51;ERCC3;ERCC1;POLE2
GO_Biological_Process_2023,Chromatin Organization (GO:0006325),115/268,1.67433206747513e-11,2.707394953107285e-08,0,0,2.363518676391652,58.64604021244969,FOXA1;SMARCB1;PWWP2B;EHMT1;HNRNPU;NUCKS1;YEATS4;TRIM28;RUVBL2;CHEK1;RUVBL1;DPF2;PWWP2A;BANF1;SOX9;ARID2;NFRKB;HMGN1;DAXX;SMARCC1;KDM2B;DDX11;CHD1L;HCFC1;CFDP1;GRWD1;PADI2;L3MBTL1;NAA60;INO80B;ZNF274;INO80E;PAXIP1;INO80D;BAZ2A;ZNF827;SUDS3;ZBTB7A;MORC2;BPTF;CHTOP;PHC1;BRPF1;CBX5;CBX3;CBX1;ESR1;SMARCA4;PARP10;CDAN1;NASP;YEATS2;C6ORF89;HNRNPC;EZH2;PHF19;SETD4;KDM5A;KDM5B;USP36;SUV39H1;CHD8;CHD7;CHD6;HMGB2;RSF1;CHD4;CTCF;CHD3;CHD1;MYSM1;CABIN1;ING5;CHAF1B;SART3;JARID2;KDM6B;BRD2;PBRM1;ACTR5;ACTL6A;BAZ1A;ARID1A;SAFB;TTI1;KAT2A;SFPQ;MTF2;DNAJC9;TOP1;SMARCD2;HDAC1;DDX21;TFPT;PAK1;MTA1;RBBP4;UBN1;MTA3;SMARCE1;KDM4A;NPM1;KDM4B;KDM4C;PCGF2;LRWD1;SSRP1;NPM3;GATAD2A;NAP1L4;RYBP;MYBBP1A;HDGF;BCOR;ERCC6
GO_Biological_Process_2023,RNA Processing (GO:0006396),81/183,2.803622925774881e-09,3.4000937032334867e-06,0,0,2.4878488621726063,48.991598885430655,TCERG1;FASTKD1;CELF1;AKAP8L;HNRNPU;HNRNPR;ADAR;USP39;BICD1;CCAR2;PPP1R9B;RBM4;SYNCRIP;PPP2R1A;SNRPD1;KHSRP;FASTK;DHX15;SNRPD3;RBM5;RBM6;DDX17;SNRPN;SCAF11;NCBP2;PRMT1;METTL3;PRPF4B;SRRM1;SFPQ;PRPF6;HNRNPUL1;DKC1;HNRNPH1;PRPF3;SNRPG;LUC7L3;SRSF4;RP9;SNRPA1;SNRNP25;SNRPF;ZNF830;SRSF7;SNRPB;ZCCHC8;SF3B4;DHX8;RBM8A;CSTF3;DDX23;SRSF1;U2AF1;RNPC3;NOL3;DEDD2;EXOSC7;ARVCF;EXOSC5;ATXN1;EXOSC4;PABPN1;U2AF2;EXOSC1;HNRNPA0;SRPK2;RBM39;CPSF6;SF3A2;FUS;LSM4;SRPK1;HNRNPL;HNRNPK;SON;HNRNPA2B1;HNRNPD;RNPS1;CDK12;HNRNPC;TARDBP
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),571/1922,1.1594579339018064e-08,1.1249060874715328e-05,0,0,1.3521851151682711,24.70811101309531,ZNF296;EHF;TRRAP;ZNF292;EHMT1;ELK1;ZMIZ1;CREB3L4;ZMIZ2;CREB3L1;MYB;ZXDC;AKT1;BBX;SUPT20H;PKNOX1;NFRKB;CDK5RAP2;DDX17;HES6;MED1;ZNF165;DAXX;RBFOX2;ZNF284;ZNF282;ZNF281;DAPK3;RFX2;RFX3;RFX1;MED6;HCFC1;DKK3;PRKAR1A;RFX7;RFX5;ZSCAN25;ATF5;SKAP1;ZNF398;ZSCAN29;ZNF397;ZBTB8A;ZNF274;SET;ZNF273;CRABP2;CTBP2;SRCAP;PRDM15;BAZ2A;GATA3;AKAP17A;ZNF24;DEDD2;MTDH;NUP85;RAD21;ZSCAN12;HOXC4;ZBTB7B;ZNF148;ZSCAN16;ZBTB7A;RREB1;ZNF146;HEXIM1;FZD1;CREBBP;ZNF142;FZD2;ZNF141;IRF2BP1;IRF2BP2;NR2F2;PA2G4;PBX1;NFATC4;HNRNPL;COL1A1;MLLT11;MLLT10;HNRNPK;TNFSF4;HNRNPD;REL;GTF2IRD1;HBP1;ZNF138;EZH2;CDK16;ZNF496;FANK1;RET;SETD5;GMEB1;GMEB2;PHF20;SPIN4;OGG1;TCF20;HOXC13;TFCP2L1;CTCF;MED16;HOXC11;HOXC10;GLI3;PHF8;PQBP1;MECP2;MED12;IKBKB;ING5;MED14;EDRF1;MED13;NKRF;CIC;ZNF367;TEAD3;ZNF485;TEAD4;BRD3;BRD2;ZNF362;BRD1;ACTL6A;BAZ1A;ASH1L;SIRT7;MED26;MED29;SIRT2;MED23;PHF20L1;NCOR2;KAT2A;MED20;MTF2;RARA;ZNF239;ZNF236;SRRT;ZNF518A;BCLAF1;NSD1;SPP1;PLAGL2;BRD8;ZNF224;SPDEF;BRD4;ZNF101;ZNF100;ZNF341;STAT1;STAT2;ATAD2;PCGF3;ZNF76;ELP2;GTF2H2;TARBP1;GATAD2A;ZNF33A;CENPF;RYBP;MYBBP1A;ZNF71;ZNF217;ZNF579;ZNF213;ZNF212;ZNF696;ZNF692;CCNT2;CCNT1;ZBTB24;NAB2;RORC;UBP1;YEATS4;DACH1;SALL2;CDH1;SALL4;RUVBL2;RUVBL1;ZNF326;ZNF205;ZNF446;ZNF567;ZNF444;ZNF202;ZNF443;ZNF322;ZNF564;MEN1;ZNF563;PIAS4;ZNF562;PIAS3;ZNF682;MAP2K2;ZNF680;F2R;DYRK1A;ZBTB33;FOXP4;ILF2;FOXP1;SAP30;ILF3;KAT6A;MORF4L2;DGKQ;ERF;PHIP;ZNF678;ADNP;AJUBA;ZNF431;ZNF672;INO80B;KHDRBS1;KMT2D;BLM;INO80E;ZNF791;INO80D;KMT2A;CBFB;SHC1;KMT2B;MAZ;GLIS3;FOXO6;NPAS2;SBNO1;SBNO2;ATXN1;ATXN7;MED31;NACC1;SAFB2;DVL3;ZKSCAN5;E4F1;MAP2K7;ZNF664;ZKSCAN1;BRPF1;FUS;BRPF3;ATP8B1;CNOT7;GON4L;CDK5;YEATS2;CNOT2;BCL3;SP6;MDM2;NFE2L3;ZNF777;MDM4;MAFK;OGT;ZNF652;RNF187;ZC3H8;FOXM1;LBH;ZNF408;PPP1R13L;SIN3A;WDR5;DTX3L;ACTR5;DNMT3A;EDF1;VEZF1;REXO4;MSL1;PTP4A3;LCOR;BIRC5;LCORL;SOS1;MCM2;PRKAA1;SMARCD2;HDAC1;ZBTB48;CXXC1;ZBTB43;TULP3;FOXK2;ZBTB42;FOXK1;MLLT3;ZBTB41;MLLT6;ZBTB40;REPIN1;POLR2A;RBBP4;ZNF628;BAHD1;ZNF627;TP53INP1;E2F1;ZNF625;E2F3;ZNF865;PCBD2;ZNF621;ZNF500;E2F7;E2F8;SMARCE1;IRX2;IRX5;IRX3;HNRNPAB;TBX3;PML;KLF5;ZNF736;BCOR;TRIM33;SMARCB1;JMJD1C;ACTB;CCAR2;TRIM28;PPP2R1A;CHEK2;RPS6KA1;DPF2;EPC1;CCNL2;SOX9;SOX6;ATXN7L3;SOX4;SMARCC1;SFMBT1;SP110;OVOL1;RUNX2;OVOL2;THAP7;ZNF713;TFAM;TRIB3;DXO;ZNF711;ZNF710;TP53;L3MBTL1;CASZ1;DHX9;MAGED1;ZBTB5;MBTD1;SEC14L2;ZNF709;ZNF708;ZNF827;DHX36;ZNF703;ZNF823;HIVEP3;ZNF700;TP53BP1;PATZ1;SNX5;STAT5B;XBP1;XRCC5;BCL11A;SS18L1;TRERF1;SMARCA4;ZBTB9;ID2;CALR;RBAK;RCOR3;SIM2;RCOR1;CC2D1A;CSRNP2;SUV39H1;RSF1;PTPRK;LIMD1;BRCA2;NAT14;HINT1;ZMYM2;SUFU;HTATIP2;NCOA2;PBRM1;ZHX2;PARP1;PRMT2;NCOA6;RHOH;CBFA2T2;PARP9;LIME1;TOX4;TOX3;DEPDC1;VGLL4;SP100;PRICKLE1;TRAK1;CAMKK2;RXRB;MNT;CUX1;PAK6;GPBP1L1;TBL1X;ARNT2;NPM1;NFYA;GRHL1;GRHL2;BATF;PRKRA;CTNNB1;FOXA1;KDM1A;WWC1;ZSCAN9;JADE3;ARID4B;JADE2;CELSR2;ZNF83;WWC3;EP300;ARID2;KDM2A;ZGPAT;MSX2;KDM2B;KCTD1;MYCL;BRMS1;ZNF92;PSPC1;TBL1XR1;TIMELESS;MZF1;TAF5L;EP400;CAMTA1;SUDS3;BPTF;TFAP2A;TFAP2B;TFAP2C;SMAD4;UBE2I;CBX5;POU2F1;CBX4;CBX3;NONO;PHF12;HMGA1;INHBA;POU2F3;ESR1;DAP;MRGBP;BAMBI;BHLHE40;PHF14;TCF3;BRWD1;MXD3;BRWD3;PHF19;KDM5A;CREBZF;LDB1;CHD8;HP1BP3;CHD7;HMGB2;HMGB3;CHD4;CHD3;CHD2;CHD1;ELAVL2;SIX4;YWHAQ;TRPS1;ZIC1;NUP62;LRRFIP1;MYBL1;YWHAH;ARHGEF11;KLF12;TGIF2;RBM15;EED;AXIN1;SAFB;ARID1A;ETV4;KLF16;TGFBR1;ETV6;DNM2;ETV7;SFPQ;ELF2;PSRC1;ELF3;IRF3;ELF4;THRAP3;IRF1;CRY1;IRF7;IRF6;RBM23;IRF9;KDM3A;ATF6B;RGS14;ZNF195;LEF1;TGFBRAP1;LIN9;ACVR1B;TFPT;MTA1;ERBB4;SAP30L;HES1;MTA3;HES4;ATF7IP;KDM4A;KDM4C;TAF15;USP22;YY1AP1;ACVR2B;KANSL1;KANSL2;CARM1;KANSL3;TAF6;ERCC6;NAA15;TAF4;TAF2
GO_Biological_Process_2023,Regulation Of Transcription Elongation By RNA Polymerase II (GO:0034243),41/77,4.73119428355076e-08,3.825170578250789e-05,0,0,3.5539928760197634,59.94343179708526,TCERG1;CCNT1;LDB1;SRCAP;PWWP2B;ZMYND8;INTS10;RNF8;HNRNPU;MED19;MED16;MED15;MED14;MED31;LEO1;PWWP2A;NELFB;NELFCD;HEXIM1;MED1;PARP1;INTS1;NCBP2;INTS3;LARP7;SUPT5H;MED26;MED29;MED6;ELL3;MED28;MED23;CDK9;MED20;INTS5;INTS4;INTS7;CDK12;CDK13;INTS9;INTS8
GO_Biological_Process_2023,Histone Lysine Methylation (GO:0034968),22/32,1.4568133490156e-07,9.463304726294456e-05,0,0,6.850185414091471,107.83455179226588,KMT2D;PAXIP1;KMT2A;SETDB1;NCOA6;EHMT2;KMT2C;SUV39H1;SETD1B;DOT1L;KMT2B;SETD1A;CXXC1;DPY30;HCFC1;PAGR1;MLLT10;RBBP5;SMYD2;WDR5;SMYD3;MEN1
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),43/85,1.5606357000691744e-07,9.463304726294456e-05,0,0,3.194929699585193,50.07414088987183,GPSM2;VCP;BCCIP;CDCA8;TTK;KIF11;AURKA;FAM110A;GOLGA2;MECP2;CCNB1;CHEK2;NUF2;STMN1;ZNF207;RCC1;PCNT;MISP;DLGAP5;OFD1;ARHGEF10;DYNC1H1;STIL;MAP1S;PLK2;SPICE1;KIF23;SMC1A;CKAP5;NDC80;WRAP73;CENPE;TPX2;STAG1;KIFC2;KIFC1;PRC1;KIF4A;TBCE;EFHC1;BIRC5;KPNB1;SPC25
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),52/111,2.065236896272752e-07,0.00011131626870910132,0,0,2.752410265058886,42.36744030652255,AKAP8L;NCAPG2;BCCIP;KIF14;KIF11;SMC4;GOLGA2;CHEK2;CHMP1A;NUP62;NUSAP1;ZNF207;KNTC1;SPDL1;CEP55;DLGAP5;DIS3L2;OFD1;ARHGEF10;SPICE1;KIF23;KIF22;SMC1A;EML4;WRAP73;PSRC1;ESPL1;KIFC2;KIFC1;CHMP4C;KIF2C;KPNB1;CDCA5;CDCA8;NCAPG;NCAPH;CCNB1;DSN1;RRS1;MISP;SPAG5;NCAPH2;NDC80;ZWINT;TPX2;CENPE;STAG1;KIF18B;CENPI;PRC1;CENPK;NCAPD2
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),188/557,2.839387686645791e-07,0.00013773869667918734,0,0,1.60355217033399,24.17275877788479,TRRAP;RORC;YEATS4;ELK1;TRIM28;ZMIZ1;CDH1;RUVBL2;CHEK2;MYB;ZXDC;RUVBL1;RPS6KA1;AKT1;EPC1;EP300;SUPT20H;SOX9;NFRKB;ATXN7L3;SOX4;CDK5RAP2;MED1;SMARCC1;MAP2K2;ZNF281;F2R;DYRK1A;RFX3;ILF2;RUNX2;HCFC1;ILF3;TBL1XR1;KAT6A;MORF4L2;TFAM;PHIP;DXO;ZNF711;ATF5;TP53;SKAP1;ZNF398;INO80B;BLM;INO80E;CASZ1;INO80D;KMT2A;SHC1;KMT2B;MAZ;GATA3;NPAS2;TAF5L;MBTD1;SEC14L2;NUP85;ATXN7;EP400;DVL3;HIVEP3;TP53BP1;MAP2K7;RREB1;SNX5;FZD1;TFAP2A;TFAP2B;CREBBP;SMAD4;FZD2;BRPF1;SS18L1;HMGA1;NR2F2;INHBA;TRERF1;ESR1;SMARCA4;COL1A1;MLLT11;MRGBP;BAMBI;ID2;BCL3;HNRNPD;TCF3;OGT;RNF187;FANK1;RET;ZNF496;KDM5A;PHF20;CHD8;HMGB2;RSF1;CHD4;CTCF;HOXC13;CHD3;MED16;FOXM1;BRCA2;NAT14;GLI3;PHF8;IKBKB;MED12;EDRF1;MED14;MED13;LBH;SIX4;NUP62;ZIC1;WDR5;MYBL1;YWHAH;ARHGEF11;DTX3L;PRMT2;NCOA6;ACTR5;ACTL6A;AXIN1;EDF1;PARP9;ARID1A;TGFBR1;MSL1;DNM2;KAT2A;ELF2;PSRC1;ELF4;THRAP3;IRF1;RARA;IRF7;IRF6;RBM23;PRKAA1;SP100;KDM3A;HDAC1;ZBTB48;LEF1;CXXC1;FOXK2;FOXK1;MLLT3;CAMKK2;RXRB;TFPT;MTA1;RBBP4;ERBB4;NSD1;TP53INP1;SPP1;E2F1;BRD8;PCBD2;TBL1X;MTA3;BRD4;ATF7IP;ARNT2;NPM1;TAF15;NFYA;STAT1;USP22;ATAD2;HNRNPAB;GATAD2A;RYBP;KANSL1;KANSL2;KANSL3;CTNNB1;TAF6;NAA15;TAF4;TAF2
GO_Biological_Process_2023,DNA Replication (GO:0006260),38/73,3.149216599981181e-07,0.0001380800299023716,0,0,3.386180830331306,50.69431656680223,FEN1;BLM;RNASEH2A;SET;MCM7;MCM9;PNKP;POLB;ORC5;RECQL4;TBRG1;HELB;TOP1MT;POLD1;CHEK1;POLE;RFC5;UPF1;WDHD1;RFC3;RFC4;DONSON;WRNIP1;BAZ1A;FAM111B;FAM111A;POLA2;POLG2;GRWD1;POLE2;CDK2;CDK1;MCM4;MCM5;DNA2;MCM6;TOP1;MCM2
GO_Biological_Process_2023,Regulation Of Cell Cycle Process (GO:0010564),58/130,3.415708841122365e-07,0.0001380800299023716,0,0,2.5166505234998384,37.4721980077799,SMARCB1;CCP110;KIF11;MKI67;CHEK1;DPF2;ZNF207;RCC1;NEK2;CCNL2;FBXO5;SOX9;ARID2;BBS4;GIT1;SMARCC1;PBRM1;BORA;DAPK3;ACTL6A;PRPF40A;CDC25C;ARID1A;SND1;DBF4;KIF2C;KIF20A;ATF5;OBSL1;MCM2;CUL9;L3MBTL1;CUL7;SMARCD2;CDCA2;PKMYT1;AURKA;RACGAP1;E4F1;RPRD1B;ECT2;MARK4;RAB11FIP3;BUB1;RPL17;RAB11FIP4;SMARCE1;YTHDF2;SPAG5;MYO19;PUM2;SMARCA4;APC;MYBBP1A;PRC1;CTNNB1;CEP85;BCL2L1
GO_Biological_Process_2023,Regulation Of DNA Repair (GO:0006282),57/129,6.350291848966166e-07,0.0002266601053118138,0,0,2.472746766272394,35.28509459218099,SMARCB1;TRRAP;YEATS4;ACTB;SMCHD1;TRIM28;RUVBL2;RUVBL1;DPF2;EPC1;SUPT20H;ARID2;ATXN7L3;NFRKB;POLH;SMARCC1;PBRM1;PARP1;ACTR5;ACTL6A;SIRT7;ARID1A;DEPDC1B;KAT2A;MORF4L2;INO80B;INO80E;SMARCD2;INO80D;PCNA;DHX9;RNF8;NPAS2;TAF5L;MBTD1;TFPT;PPP4C;ATXN7;UBR5;EP400;USP1;BRD8;ATRIP;BARD1;SMARCE1;EYA3;USP22;PML;SMARCA4;CDK9;MRGBP;TAF6;ERCC6;TAF4;TAF2;ATR;WRAP53
GO_Biological_Process_2023,post-Golgi Vesicle-Mediated Transport (GO:0006892),31/56,6.541417180716127e-07,0.0002266601053118138,0,0,3.8643467492260064,55.0280728606679,SYS1;SNAP23;GGA2;GGA1;SCFD1;GGA3;AP1G2;VPS52;VTI1A;CCDC93;ARFGEF2;OSBPL5;EXOC7;VPS13C;SEC16A;VPS13A;AP3D1;SCAMP1;SORL1;SCAMP3;DNM2;KLHL20;RAB10;RABIF;RAB14;KIF16B;EXOC6;GOPC;CCDC22;CORO7;LLGL1
GO_Biological_Process_2023,mRNA Processing (GO:0006397),84/214,9.198223888271408e-07,0.0002912708260481232,0,0,2.021792731475536,28.101069514743536,TCERG1;CELF1;EIF4A3;GPATCH1;HNRNPU;PPWD1;HNRNPR;DDX41;PRPF19;USP39;PNN;SYNCRIP;RBM4;SART3;SNRPD1;RBMX2;SNRNP70;DHX15;PAPOLA;SNRPD3;CMTR1;RBM5;RBM6;SRRM2;RBM14;SNRPN;SCAF11;NCBP2;METTL3;PRPF40B;PRPF40A;PRPF4B;SRRM1;ERN1;SFPQ;DDX39A;PRPF6;HNRNPH1;PRPF3;SNRPG;SRSF3;SRSF4;SNRPA1;PABPC1;SNRPF;SNRNP200;SRSF6;SRSF7;SNRPB;SF3B4;ZCCHC8;DHX8;RBM8A;YTHDC1;DDX23;SRSF1;U2AF1;RNPC3;U2AF2;DHX35;TRA2A;RPRD1B;RALY;HNRNPA1;RBM10;HNRNPA0;HEXIM1;CPSF7;HNRNPA3;PPIL1;PRPF38A;SF3A2;CPSF6;ALYREF;RPRD2;LSM4;HNRNPM;LSM7;HNRNPK;SON;HNRNPA2B1;RNPS1;PRPF31;HNRNPC
GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",83/211,9.60695365238089e-07,0.0002912708260481232,0,0,2.028785468391404,28.110057131629905,EIF4A3;GPATCH1;HNRNPU;PPWD1;HNRNPR;DDX41;PRPF19;USP39;PQBP1;COIL;PNN;SYNCRIP;RBM4;SART3;SNRPD1;RBMX2;SNRNP70;DHX15;SNRPD3;RBM5;RBM6;DDX17;SRRM2;RBM14;SNRPN;SCAF11;NCBP2;METTL3;PRPF40B;PRPF40A;PRPF4B;SRRM1;SFPQ;DDX39A;PRPF6;HNRNPH1;CLNS1A;PRPF3;SNRPG;STRAP;SRSF3;SRSF4;SNRPA1;PABPC1;SNRPF;GEMIN8;SNRNP200;SRSF6;SRSF7;SNRPB;SF3B4;ZCCHC8;DHX8;RBM8A;DHX9;YTHDC1;DDX23;SRSF1;U2AF1;RNPC3;PUF60;U2AF2;DHX35;TGS1;TRA2A;RALY;HNRNPA1;RBM10;SRPK2;HNRNPA3;PPIL1;PRPF38A;SF3A2;LSM4;SRPK1;HNRNPM;LSM7;HNRNPK;HNRNPA2B1;RNPS1;PRPF31;HNRNPC;CDK13
GO_Biological_Process_2023,Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),36/71,1.4585758281745804e-06,0.0004162089024985229,0,0,3.20663518299882,43.090924108387,PARPBP;KDM1A;TRRAP;MAGEF1;YEATS4;ACTB;MBTD1;RAD51AP1;HELB;SMCHD1;PPP4C;RUVBL2;FIGNL1;CHEK1;RUVBL1;EP400;EPC1;BRD8;TP53BP1;ARID2;UBQLN4;PIAS4;ACTR2;POLQ;RMI2;PARP1;FUS;ACTL6A;SENP3;SPIDR;MRGBP;RAD51;MORF4L2;TIMELESS;ERCC6;WRAP53
GO_Biological_Process_2023,Cell Cycle G2/M Phase Transition (GO:0044839),24/40,1.7037911998850455e-06,0.0004591717283690198,0,0,4.670651277823578,62.03864801827254,KHDRBS1;CCDC57;AKAP8L;AKAP8;FOXM1;PKMYT1;CDC25C;MASTL;TPD52L1;CDC25A;AURKA;CDC25B;DNM2;CCNA2;CCNB1;WEE1;MELK;PPME1;CHEK2;ENSA;CDK2;CDK1;LCMT1;TAF2
GO_Biological_Process_2023,DNA-templated DNA Replication (GO:0006261),35/69,2.009068401994055e-06,0.0005129468851617454,0,0,3.208804695189375,42.092584737452725,PRIM2;BLM;MCM7;PNKP;MCM10;POLB;ORC5;RECQL4;HELB;ORC6;POLD1;ORC2;POLE;TEFM;RFC5;GINS1;WDHD1;GINS2;MGME1;RFC3;RFC4;HMGA1;WRNIP1;LRWD1;POLA2;RAD51;POLG2;POLE2;MCM3;MCM4;MCM5;DNA2;MCM6;SSBP1;MCM2
GO_Biological_Process_2023,DNA Repair (GO:0006281),106/291,2.5927842320797456e-06,0.0006288798154909423,0,0,1.7944744744744745,23.0819272701726,DCLRE1C;TRRAP;NUCKS1;ALKBH2;ENDOV;TRIM28;EME1;EME2;CHEK2;CHEK1;MEN1;PIAS4;WDHD1;LIG1;LIG3;WRNIP1;CHD1L;MSH6;DEPDC1B;FANCD2;PSME4;TIMELESS;DNA2;TP53;RHNO1;RNASEH2C;BLM;VCP;RNASEH2A;PRKDC;CDCA5;PDS5B;RAD51AP1;NTHL1;RAD21;EP400;ZNF668;ATRIP;BARD1;FANCI;UBE2B;XRCC5;FANCL;INTS3;XRCC2;FANCA;XRCC1;FANCG;FANCF;FAM111A;MC1R;TDP1;UBE2T;CDK1;RAD18;ATR;RAD9A;MUS81;FEN1;OGG1;BRCA2;POLB;POLE;POLH;RFC5;UPF1;RMI2;RFC3;RFC4;PARP1;DTX3L;ACTR5;PARP9;SMC1A;REXO4;DDB2;PCNA;PNKP;DOT1L;RNF8;UNG;RECQL4;MTA1;POLD1;TDG;PMS2;MBD4;MGME1;POLQ;NPM1;EYA3;APEX2;GTF2H2;GTF2H3;APTX;GTF2H4;REC8;RAD51;ERCC3;RFWD3;ERCC1;POLE2;ERCC2;ERCC8;TRIP13;ERCC6
GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),108/298,2.7492407339447485e-06,0.0006350746095412369,0,0,1.7803691275167786,22.79617706775746,TRRAP;CCNF;HNRNPU;JADE3;YEATS4;JADE2;ACTB;CDC20;RUVBL2;CHEK1;RUVBL1;EPC1;PIM3;CCNL2;FBXO5;SOX9;NFRKB;CDK5RAP3;TMEM8B;MEN1;TSPYL2;ANAPC7;DAPK3;METTL3;TSC2;SND1;RNF40;HCFC1;UHMK1;MORF4L2;ANAPC5;TTLL12;PRR11;TP53;ANAPC1;ANAPC2;L3MBTL1;ANKRD17;INO80B;INO80E;INO80D;GATA3;IQGAP1;MBTD1;FIGNL1;ZNF703;TP53BP2;EP400;E4F1;RPRD1B;MARK4;BARD1;SRPK2;CDT1;ZBTB17;PTK6;DHCR24;GADD45G;CDK9;CYLD;MRGBP;SON;CDK5;YEATS2;C6ORF89;MDM2;CDK10;HBP1;CALR;NF2;HSP90AB1;PPP1R13B;SUV39H1;PTPRK;FOXM1;PPP1R9B;ING5;WDR5;DLGAP5;PHACTR4;ACTR5;ACTL6A;MASTL;SIRT2;TGFBR1;KAT2A;IRF1;CKS2;RARA;MCM2;SMIM22;ZBTB49;PRCC;XIAP;LIN9;TBRG1;TFPT;FZR1;RPS15A;PES1;TP53INP1;BRD8;YY1AP1;TBX3;BOP1;TAF6;TARDBP;CDKN3
GO_Biological_Process_2023,Regulation Of RNA Splicing (GO:0043484),46/102,3.76772806585038e-06,0.0008307840385200087,0,0,2.5625850340136056,32.00422282442186,TRRAP;YTHDC1;CELF1;SRSF1;ILDR1;AKAP17A;TAF5L;PQBP1;PTBP1;POLR2A;ATXN7;SNRNP70;U2AF2;FASTK;ZNF326;CCNL2;SUPT20H;RBM12;HNRNPA1;ATXN7L3;SRPK2;RBM39;TIA1;FUS;USP22;DYRK1A;LARP7;CLK4;SRRM1;CLK2;SRPK1;PTBP3;ERN1;HNRNPL;KAT2A;HNRNPK;SON;ESRP2;HNRNPH1;ESRP1;ZNF638;RBM12B;SRSF3;RBM23;MCM2;HSPA1A
GO_Biological_Process_2023,Histone H4 Acetylation (GO:0043967),23/39,4.247754283913837e-06,0.0008959067839680881,0,0,4.475118483412322,55.3532780657007,NAA40;PHF20;TRRAP;ACTL6A;JADE3;YEATS4;JADE2;HCFC1;MSL1;MBTD1;ING5;MRGBP;KANSL1;KANSL2;RUVBL2;KANSL3;MORF4L2;RUVBL1;EP400;WDR5;EPC1;BRD8;OGT
